"","Geology","WoodyCover","MAP_aggregated"
"1877","Basaltic",57.2692949113312,400
"1884","Basaltic",63.7577229402748,400
"2013","Basaltic",47.3164460976216,400
"2014","Basaltic",55.8410090986514,400
"2017","Basaltic",56.4549230971419,400
"2018","Basaltic",57.2235192130438,400
"2023","Basaltic",53.3721276461349,400
"2024","Basaltic",58.6327226908862,400
"2025","Basaltic",52.5341429587204,400
"2026","Basaltic",53.5377911453612,400
"2154","Basaltic",48.6528334680228,450
"2155","Basaltic",61.4551053094355,400
"2158","Basaltic",54.224312191359,400
"2159","Basaltic",64.6192306946153,400
"2163","Basaltic",58.993299633541,400
"2164","Basaltic",58.3995152727005,400
"2165","Basaltic",62.8530664818423,400
"2166","Basaltic",56.4267257663438,400
"2167","Basaltic",46.8089491187024,400
"2295","Basaltic",48.4604019002103,450
"2296","Basaltic",46.9375925751011,400
"2299","Basaltic",63.562484043511,400
"2300","Basaltic",58.5497335921153,400
"2301","Basaltic",62.6097133350398,400
"2303","Basaltic",60.7197706545281,400
"2304","Basaltic",61.1132116918025,400
"2305","Basaltic",38.0689956713951,400
"2306","Basaltic",66.6062239139937,400
"2307","Basaltic",51.9958016130137,400
"2308","Basaltic",47.2916019553515,400
"2437","Basaltic",41.7699332483003,450
"2438","Basaltic",46.7673138773104,400
"2439","Basaltic",57.0308238408065,400
"2440","Basaltic",59.5827581231211,400
"2441","Basaltic",58.8849390520913,400
"2442","Basaltic",53.2668140300677,400
"2443","Basaltic",60.7268361345659,400
"2444","Basaltic",61.9754199530518,400
"2445","Basaltic",63.0303314813837,400
"2446","Basaltic",63.3269734871342,400
"2447","Basaltic",66.2699315280561,400
"2448","Basaltic",59.4534941421528,400
"2449","Basaltic",68.8427946360774,450
"2571","Basaltic",31.5334273490605,450
"2572","Basaltic",46.114243870425,450
"2573","Basaltic",60.6307056765148,450
"2577","Basaltic",56.8818283252257,450
"2578","Basaltic",52.4019064195035,450
"2579","Basaltic",65.5650992756129,450
"2580","Basaltic",62.3671663033419,400
"2581","Basaltic",56.2092296460943,450
"2582","Basaltic",63.4526300306646,450
"2583","Basaltic",62.8626947267998,400
"2584","Basaltic",58.9293727920451,400
"2585","Basaltic",49.18086096764,400
"2586","Basaltic",58.1193322539792,400
"2587","Basaltic",60.078789720232,400
"2588","Basaltic",62.0224431019635,450
"2589","Basaltic",58.4521727498322,450
"2712","Basaltic",39.9847952071591,450
"2713","Basaltic",30.4564039082184,450
"2714","Basaltic",44.4620050891947,450
"2715","Basaltic",25.3764475838823,450
"2716","Basaltic",37.3184085031492,450
"2717","Basaltic",39.9093033364775,450
"2718","Basaltic",52.1589198852418,450
"2719","Basaltic",52.6808636652407,450
"2720","Basaltic",58.3068525035279,450
"2721","Basaltic",59.953159057258,450
"2722","Basaltic",57.6033630172396,450
"2723","Basaltic",58.5923072926439,450
"2724","Basaltic",59.1744214284342,450
"2725","Basaltic",37.363785962179,450
"2726","Basaltic",63.9308527056531,450
"2727","Basaltic",55.5131992138674,450
"2728","Basaltic",63.6103880778452,450
"2729","Basaltic",71.1615563799151,450
"2854","Basaltic",23.0935770220368,450
"2855","Basaltic",53.0014470386385,450
"2856","Basaltic",32.1372498337699,450
"2857","Basaltic",37.3896043272554,450
"2858","Basaltic",32.1099406399461,450
"2859","Basaltic",50.6124559159172,450
"2860","Basaltic",52.7111093718368,450
"2861","Basaltic",59.4658632511747,450
"2862","Basaltic",67.8807762725299,450
"2863","Basaltic",58.1536332813055,450
"2864","Basaltic",52.1404582768738,450
"2865","Basaltic",57.9901041251349,450
"2866","Basaltic",50.2953942319153,450
"2867","Basaltic",58.6258512587525,450
"2868","Basaltic",51.7197221917085,450
"2869","Basaltic",57.8123392112633,450
"2995","Basaltic",48.0427710362621,450
"2996","Basaltic",44.4290518877951,450
"2997","Basaltic",36.7138606013582,450
"2998","Basaltic",35.2106166064659,450
"2999","Basaltic",33.5962915230245,450
"3000","Basaltic",43.5731918732553,450
"3001","Basaltic",56.0713321360829,450
"3002","Basaltic",56.9731622669875,450
"3003","Basaltic",63.0494302523642,450
"3004","Basaltic",54.4685061656571,450
"3005","Basaltic",58.6270579002517,450
"3006","Basaltic",41.4957115578696,450
"3007","Basaltic",47.1415069690357,450
"3008","Basaltic",50.0761835366187,450
"3136","Basaltic",30.0069150956294,450
"3137","Basaltic",37.7508528073624,450
"3138","Basaltic",43.1502213432953,450
"3139","Basaltic",42.74593676207,450
"3140","Basaltic",43.5969179978361,450
"3141","Basaltic",50.1872088365729,450
"3142","Basaltic",42.4042596367878,450
"3143","Basaltic",49.3359695826595,450
"3144","Basaltic",60.3479662526161,450
"3145","Basaltic",55.8247536887433,500
"3146","Basaltic",49.7725676202292,500
"3147","Basaltic",47.5302467685506,450
"3278","Basaltic",25.7116713036298,450
"3279","Basaltic",40.6162828352654,450
"3280","Basaltic",44.2289323821383,450
"3281","Basaltic",33.3765521229277,450
"3282","Basaltic",43.9310924433707,450
"3283","Basaltic",43.7495449132234,450
"3284","Basaltic",56.7481851059262,450
"3285","Basaltic",49.0848323864168,500
"3419","Basaltic",29.6020624509942,450
"3420","Basaltic",24.6114416282607,450
"3421","Basaltic",24.4416749923162,450
"3422","Basaltic",26.1150485399935,450
"3423","Basaltic",45.9394471530239,450
"3424","Basaltic",28.7423115245033,500
"3425","Basaltic",40.0882218989512,500
"3426","Basaltic",46.7220006939386,500
"3427","Basaltic",39.5770201722117,500
"3560","Basaltic",44.2046980208774,450
"3561","Basaltic",26.1893144423739,450
"3562","Basaltic",24.6185907777413,450
"3563","Basaltic",26.6160736463555,450
"3564","Basaltic",24.5355359989912,500
"3565","Basaltic",22.4904628378427,500
"3566","Basaltic",49.4802166817122,500
"3567","Basaltic",42.663969033822,500
"3701","Basaltic",19.3781153708482,450
"3702","Basaltic",33.4309393207946,450
"3703","Basaltic",18.4740410524608,450
"3704","Basaltic",26.3188622104912,500
"3705","Basaltic",13.8508853721419,500
"3706","Basaltic",10.0853207020057,500
"3707","Basaltic",51.0061186936838,500
"3708","Basaltic",60.2649763769357,500
"3842","Basaltic",20.0510315192282,450
"3843","Basaltic",23.8170462355128,450
"3844","Basaltic",28.2375998977833,500
"3845","Basaltic",32.491419496949,500
"3846","Basaltic",23.1131280438726,500
"3847","Basaltic",13.943282586142,500
"3848","Basaltic",22.8354569792748,500
"3849","Basaltic",61.5467017024591,500
"3983","Basaltic",38.5638996342228,500
"3984","Basaltic",40.19495181173,500
"3985","Basaltic",21.6540568752748,500
"3986","Basaltic",32.921173168461,500
"3987","Basaltic",39.6609940414926,500
"3988","Basaltic",17.124633061562,500
"3989","Basaltic",6.90193585125805,500
"3990","Basaltic",41.8712003720181,500
"4124","Basaltic",29.3046442754806,500
"4125","Basaltic",23.9800615383499,500
"4126","Basaltic",19.8466490070879,500
"4127","Basaltic",25.0352995908157,500
"4128","Basaltic",6.4312096728921,500
"4129","Basaltic",31.0482220278308,500
"4130","Basaltic",10.9840865675035,500
"4131","Basaltic",30.1502357542427,500
"4265","Basaltic",24.5732971631558,500
"4266","Basaltic",20.9369274536101,500
"4267","Basaltic",5.64201341453875,500
"4268","Basaltic",30.1903781801124,500
"4269","Basaltic",35.5209110779105,500
"4270","Basaltic",26.3946010179879,500
"4271","Basaltic",42.6564441019145,500
"4272","Basaltic",53.4488862530718,500
"4407","Basaltic",11.6556641446528,500
"4408","Basaltic",10.1031726888421,500
"4409","Basaltic",16.3477197098332,500
"4410","Basaltic",14.0569640172041,500
"4411","Basaltic",1.75694651291219,500
"4412","Basaltic",50.6007673830235,500
"4413","Basaltic",56.9027911128955,500
"4414","Basaltic",40.3161685841027,500
"4548","Basaltic",5.1211491305826,500
"4549","Basaltic",5.93770433602246,500
"4550","Basaltic",11.1156507563706,500
"4551","Basaltic",10.5841430816455,500
"4552","Basaltic",16.3015535305633,500
"4553","Basaltic",32.8913607101068,500
"4554","Basaltic",26.6907607160277,500
"4555","Basaltic",56.2241693285495,500
"4688","Basaltic",6.59432543096846,500
"4689","Basaltic",9.17701370461163,500
"4690","Basaltic",3.68742845671339,500
"4691","Basaltic",8.5997378292937,500
"4692","Basaltic",7.03824609802661,500
"4693","Basaltic",11.8828996859223,500
"4694","Basaltic",16.9866811187262,500
"4695","Basaltic",23.8031342542031,500
"4696","Basaltic",22.2979916441384,500
"4830","Basaltic",7.57291878553053,500
"4831","Basaltic",5.68644614702593,500
"4832","Basaltic",12.7888303640419,500
"4833","Basaltic",6.30826846827336,500
"4834","Basaltic",6.46492690364623,500
"4835","Basaltic",2.71779942568933,500
"4836","Basaltic",8.47363617069115,500
"4837","Basaltic",19.4583318228953,500
"4838","Basaltic",49.3282280039538,500
"4839","Basaltic",27.762095757529,500
"4971","Basaltic",28.782979036527,500
"4972","Basaltic",16.1605516413718,500
"4973","Basaltic",20.970474151812,500
"4974","Basaltic",2.04231722343671,500
"4975","Basaltic",0.5,500
"4976","Basaltic",9.78706320905987,500
"4977","Basaltic",0.5,500
"4978","Basaltic",30.484070222692,500
"4979","Basaltic",22.951491552108,500
"4980","Basaltic",9.22518410471803,500
"5106","Basaltic",47.0205871131179,500
"5107","Basaltic",34.4125184433764,450
"5112","Basaltic",4.66800293888305,500
"5113","Basaltic",0.48829941820521,500
"5114","Basaltic",4.27837086028407,500
"5115","Basaltic",0.5,500
"5116","Basaltic",0.567990348591405,500
"5117","Basaltic",2.31808018217909,500
"5118","Basaltic",3.72800767651935,500
"5119","Basaltic",11.5724211235372,500
"5120","Basaltic",20.333731432348,500
"5121","Basaltic",21.0207520095791,500
"5122","Basaltic",18.4706842625175,500
"5247","Basaltic",18.3389724603295,500
"5248","Basaltic",17.4631055012787,450
"5249","Basaltic",16.7024666340611,450
"5250","Basaltic",0.932938391483741,500
"5253","Basaltic",24.1048892249222,500
"5254","Basaltic",20.1608636878753,500
"5255","Basaltic",8.49784326947313,500
"5256","Basaltic",2.0659573218084,500
"5257","Basaltic",0.542424895072219,500
"5258","Basaltic",0.5,500
"5259","Basaltic",6.37619098799206,500
"5260","Basaltic",7.36120487858717,500
"5261","Basaltic",35.6064153584851,500
"5262","Basaltic",4.53692328732284,500
"5263","Basaltic",24.5162892645696,500
"5264","Basaltic",26.7387875591838,500
"5389","Basaltic",44.2361758903963,500
"5390","Basaltic",31.2775910889338,500
"5391","Basaltic",4.20992581557861,500
"5392","Basaltic",10.791382117151,500
"5393","Basaltic",20.5267986366311,500
"5394","Basaltic",2.08704694890982,500
"5395","Basaltic",2.65842363794573,500
"5396","Basaltic",7.30392933009,500
"5397","Basaltic",14.6736106928655,500
"5398","Basaltic",4.44967605210282,500
"5399","Basaltic",8.09968281943267,500
"5400","Basaltic",3.2279149952322,500
"5401","Basaltic",0.662394793169949,500
"5402","Basaltic",29.4792241281773,500
"5403","Basaltic",0.5,500
"5404","Basaltic",11.1509551685774,500
"5405","Basaltic",1.80519037627171,500
"5406","Basaltic",40.0539788085795,500
"5531","Basaltic",10.5600802208636,500
"5532","Basaltic",1.6433439613619,500
"5533","Basaltic",0.5,500
"5534","Basaltic",11.9940217913693,500
"5535","Basaltic",9.06554870443063,500
"5536","Basaltic",13.1777964855455,500
"5537","Basaltic",8.70154013104775,500
"5538","Basaltic",12.5830958751372,500
"5539","Basaltic",4.28091226679252,500
"5540","Basaltic",2.82025990887758,500
"5541","Basaltic",0.5,500
"5542","Basaltic",5.06406077588468,500
"5543","Basaltic",3.77503608787549,500
"5544","Basaltic",1.52847904060017,500
"5545","Basaltic",0.5,500
"5546","Basaltic",0.5,500
"5547","Basaltic",46.3304953978101,500
"5548","Basaltic",44.3346889263512,500
"5673","Basaltic",5.6972120638943,500
"5674","Basaltic",0.5,500
"5675","Basaltic",16.3578799559302,500
"5676","Basaltic",0.779062080691174,500
"5677","Basaltic",14.3108642985269,500
"5678","Basaltic",15.7069176584467,500
"5679","Basaltic",9.48457367233505,500
"5680","Basaltic",9.06563485942469,500
"5681","Basaltic",0.5,500
"5682","Basaltic",5.44035729350618,500
"5683","Basaltic",4.65992237603257,500
"5684","Basaltic",10.2076014105707,500
"5685","Basaltic",1.34370251146748,500
"5686","Basaltic",29.496426085921,500
"5687","Basaltic",14.2730702118505,500
"5688","Basaltic",21.3413140750153,500
"5689","Basaltic",31.7996164710974,500
"5813","Basaltic",29.9414326232809,500
"5814","Basaltic",39.0435778476317,500
"5815","Basaltic",4.5612529086978,500
"5816","Basaltic",6.76176842774962,500
"5817","Basaltic",5.93357041359874,500
"5818","Basaltic",8.5932860657916,500
"5819","Basaltic",14.6347127538193,500
"5820","Basaltic",14.3346131199891,500
"5821","Basaltic",12.0173232703986,500
"5822","Basaltic",5.68297825109237,500
"5823","Basaltic",0.5,500
"5824","Basaltic",3.71903004621138,500
"5825","Basaltic",1.42325709949875,500
"5826","Basaltic",0.5,500
"5827","Basaltic",18.2553112205488,500
"5828","Basaltic",22.9695759527366,500
"5829","Basaltic",1.53834261379245,500
"5830","Basaltic",1.2938961871517,500
"5831","Basaltic",44.2621375031168,500
"5953","Basaltic",30.6472247394791,500
"5954","Basaltic",32.2853504418703,500
"5955","Basaltic",18.8154428422964,500
"5956","Basaltic",2.6721135772351,500
"5957","Basaltic",7.59391190364563,500
"5958","Basaltic",17.3095031995045,500
"5959","Basaltic",17.3028434196818,500
"5960","Basaltic",10.0174067930986,500
"5961","Basaltic",10.6780812255973,500
"5962","Basaltic",2.30051427680109,500
"5963","Basaltic",0.5,500
"5964","Basaltic",4.66382769084195,500
"5965","Basaltic",7.01701676623072,500
"5966","Basaltic",11.5662401897806,500
"5967","Basaltic",0.5,500
"5968","Basaltic",8.30316918401617,500
"5969","Basaltic",1.53505037127357,500
"5970","Basaltic",0.5,500
"5971","Basaltic",0.496354489631177,500
"5972","Basaltic",0.5,500
"6093","Basaltic",41.3915335482262,500
"6094","Basaltic",22.1301731311666,500
"6095","Basaltic",22.2286936530544,500
"6096","Basaltic",12.1123455858143,500
"6097","Basaltic",0.718069012671356,500
"6098","Basaltic",16.59175530831,500
"6099","Basaltic",17.0155714935945,500
"6100","Basaltic",18.049427861635,500
"6101","Basaltic",13.5166148686085,500
"6102","Basaltic",13.0805089089581,500
"6103","Basaltic",9.64203814075301,500
"6104","Basaltic",11.3704614682065,500
"6105","Basaltic",0.5,500
"6106","Basaltic",25.1596601503932,500
"6107","Basaltic",7.24072502113446,500
"6108","Basaltic",0.5,500
"6109","Basaltic",0.5,500
"6110","Basaltic",0.723794770537868,500
"6111","Basaltic",6.36042861853632,500
"6112","Basaltic",20.9907427558199,500
